Borough,Control,Condition of External Walls,Condition of Windows,Condition of Stairways,Condition of Floors,Condition of Building,Number of Units in Building,Complete Plumbing Facilities,Toilet Breakdowns,Kitchen Facilities Functioning,Monthly Contract Rent,Senior Citizen Rent Increase Exemption (SCRIE),Public Assistance Shelter Allowance,Another Federal Housing Subsidy Program,Another State or City Housing Subsidy Program,Heating Equipment Breakdown,Exterminator Service,Cracks or Holes in Interior Walls or Ceiling,Broken Plaster or Peeling Paint on Ceiling or Inside Walls,Water Leakage Inside Apartment,Year Built,Owner in Building,Length of Lease,Race,New Rent Law,Old,More_units,Brooklyn,Manhattan,Staten Island,Bronx,score,good
1,1,999919,99919,991999,999919,2,13,0,2,1,1012,9,2,2,2,1,1,2,1,2,5,3,4,2,1,0,1,0,0,0,1,10,1
4,0,999919,99919,991999,999919,2,3,0,2,1,1900,9,2,2,2,0,2,2,1,2,3,2,2,4,1,0,0,0,0,0,0,8,1
2,1,999919,19999,991999,999919,2,12,0,2,1,900,9,2,2,2,1,1,1,1,2,7,2,4,2,1,1,1,1,0,0,0,6,0
2,0,999919,99919,991999,999199,2,6,0,2,1,1000,9,2,2,2,1,4,2,1,2,8,2,6,1,1,1,0,1,0,0,0,8,1
3,1,999919,99919,991999,999919,2,9,0,2,1,3000,9,2,2,2,0,1,1,1,2,8,2,4,1,1,1,0,0,1,0,0,6,0
2,1,999919,99919,991999,999919,2,11,0,8,8,1360,9,2,2,2,8,8,8,8,8,7,8,8,2,1,1,0,1,0,0,0,4,0
2,1,999919,99919,991999,999919,2,12,0,2,1,2025,9,2,2,2,1,5,1,1,2,8,2,1,4,1,1,1,1,0,0,0,8,1
2,0,999919,99919,888888,999919,2,9,0,2,1,2500,9,2,2,2,1,5,2,1,2,8,2,2,1,1,1,0,1,0,0,0,9,1
2,0,999919,99919,991999,999919,2,2,0,2,1,2200,9,2,2,2,0,2,2,1,2,7,2,6,5,1,1,0,1,0,0,0,8,1
2,0,999919,99919,991999,999919,2,6,0,2,1,1400,9,1,2,2,0,3,2,0,2,9,1,2,6,1,1,0,1,0,0,0,6,0
1,0,999919,99919,991999,999919,2,7,0,2,1,1294,9,2,2,2,0,4,1,1,2,7,2,2,1,1,1,0,0,0,0,1,6,0
3,0,999919,99919,991999,999919,2,11,0,2,1,2700,9,2,2,2,1,1,2,1,2,10,3,2,1,1,1,0,0,1,0,0,10,1
1,1,999919,99919,991999,999919,2,12,0,2,1,1151,9,2,2,2,1,1,2,0,2,1,2,2,2,1,0,1,0,0,0,1,8,1
2,1,999919,99919,888888,999919,2,6,0,2,1,1100,9,2,2,2,1,1,2,1,1,7,2,4,2,1,1,0,1,0,0,0,7,0
2,1,999919,99919,991999,999919,2,11,0,2,1,1044,1,2,2,2,1,4,2,1,2,7,2,2,1,1,1,0,1,0,0,0,10,1
2,0,999919,99919,991999,999919,2,3,0,8,8,1000,9,2,2,2,8,8,8,8,8,9,2,8,1,1,1,0,1,0,0,0,4,0
